iter	Passed	Remaining
0	146	146118
1	148	74148
2	150	50163
3	153	38097
4	156	31101
5	159	26451
6	162	23004
7	165	20547
8	169	18707
9	172	17092
10	174	15678
11	175	14475
12	177	13454
13	178	12591
14	181	11889
15	182	11213
16	183	10612
17	184	10086
18	186	9604
19	187	9194
20	189	8824
21	191	8491
22	192	8189
23	194	7907
24	196	7655
25	197	7417
26	199	7196
27	201	6979
28	202	6777
29	203	6584
30	204	6407
31	206	6253
32	208	6099
33	209	5950
34	210	5805
35	211	5672
36	213	5545
37	214	5424
38	215	5308
39	216	5200
40	218	5104
41	219	5013
42	221	4931
43	222	4843
44	224	4760
45	225	4677
46	226	4597
47	227	4521
48	229	4448
49	230	4387
50	232	4320
51	233	4253
52	234	4192
53	235	4131
54	237	4073
55	238	4017
56	239	3963
57	240	3909
58	242	3863
59	243	3818
60	244	3771
61	246	3726
62	247	3680
63	248	3637
64	249	3595
65	251	3553
66	252	3511
67	253	3472
68	254	3436
69	256	3401
70	257	3366
71	258	3330
72	259	3296
73	260	3263
74	261	3230
75	263	3198
76	264	3167
77	265	3136
78	266	3108
79	267	3079
80	269	3052
81	270	3031
82	271	2999
83	272	2973
84	273	2947
85	275	2922
86	276	2898
87	277	2874
88	278	2852
89	279	2830
90	281	2809
91	282	2790
92	284	2775
93	285	2756
94	287	2735
95	288	2719
96	290	2707
97	292	2689
98	293	2674
99	295	2663
100	298	2653
101	300	2642
102	302	2632
103	304	2621
104	306	2614
105	308	2604
106	310	2593
107	312	2582
108	314	2569
109	315	2556
110	317	2543
111	319	2531
112	321	2520
113	322	2509
114	324	2497
115	326	2485
116	327	2471
117	329	2462
118	331	2453
119	333	2442
120	335	2433
121	336	2422
122	338	2413
123	340	2402
124	341	2393
125	343	2384
126	345	2378
127	347	2366
128	349	2357
129	350	2348
130	352	2340
131	354	2332
132	356	2323
133	358	2314
134	359	2304
135	361	2294
136	362	2284
137	364	2275
138	365	2265
139	367	2257
140	368	2246
141	369	2234
142	371	2226
143	373	2218
144	374	2210
145	376	2200
146	377	2192
147	379	2183
148	380	2173
149	382	2165
150	383	2156
151	385	2149
152	386	2141
153	388	2132
154	389	2124
155	391	2117
156	392	2109
157	394	2102
158	396	2094
159	397	2086
160	398	2078
161	402	2081
162	403	2073
163	405	2066
164	406	2058
165	408	2051
166	410	2045
167	411	2038
168	412	2030
